Team,Player,Position,Estimated Return,Status
Atlanta Hawks,Clint Capela,C,Oct 1,Out
Atlanta Hawks,Larry Nance Jr.,PF,Oct 1,Out
Atlanta Hawks,Jalen Johnson,SF,Oct 1,Out
Atlanta Hawks,Kobe Bufkin,G,Oct 1,Out
Boston Celtics,Jayson Tatum,SF,Feb 1,Out
Brooklyn Nets,Ziaire Williams,F,Oct 1,Out
Brooklyn Nets,Reece Beekman,G,Oct 1,Out
Brooklyn Nets,Cameron Johnson,SF,Oct 1,Out
Brooklyn Nets,D'Angelo Russell,G,Oct 1,Out
Brooklyn Nets,Day'Ron Sharpe,C,Oct 1,Out
Brooklyn Nets,Noah Clowney,F,Oct 1,Out
Brooklyn Nets,Cam Thomas,SG,Oct 1,Out
Chicago Bulls,Tre Jones,PG,Oct 1,Out
Chicago Bulls,Lonzo Ball,PG,Oct 1,Out
Chicago Bulls,Ayo Dosunmu,SG,Oct 1,Out
Cleveland Cavaliers,Sam Merrill,SG,Oct 1,Out
Dallas Mavericks,Kyrie Irving,PG,Jan 1,Out
Dallas Mavericks,Olivier-Maxence Prosper,F,Oct 1,Out
Denver Nuggets,Aaron Gordon,PF,May 18,Day-To-Day
Denver Nuggets,Hunter Tyson,F,May 18,Out
Denver Nuggets,DaRon Holmes II,C,Jul 2,Out
Detroit Pistons,Isaiah Stewart,C,Oct 1,Out
Detroit Pistons,Jaden Ivey,PG,Oct 1,Out
Golden State Warriors,Stephen Curry,PG,Oct 1,Out
Houston Rockets,Jock Landale,C,Oct 1,Out
Houston Rockets,Jae'Sean Tate,SF,Oct 1,Out
Indiana Pacers,Isaiah Jackson,SF,Oct 1,Out
LA Clippers,Seth Lundy,G,Jul 2,Out
Memphis Grizzlies,Ja Morant,PG,Oct 1,Out
Memphis Grizzlies,Zyon Pullin,G,Jul 2,Out
Memphis Grizzlies,Jaylen Wells,F,Oct 1,Out
Memphis Grizzlies,Brandon Clarke,PF,Oct 1,Out
Miami Heat,Terry Rozier,SG,Oct 1,Out
Miami Heat,Isaiah Stevens,G,Jul 2,Out
Miami Heat,Dru Smith,G,Oct 1,Out
Milwaukee Bucks,Tyler Smith,F,Jul 2,Out
Milwaukee Bucks,Damian Lillard,PG,Feb 1,Out
New Orleans Pelicans,Brandon Boston,SG,Oct 1,Out
New Orleans Pelicans,Kelly Olynyk,PF,Oct 1,Out
New Orleans Pelicans,Bruce Brown,SF,Oct 1,Out
New Orleans Pelicans,Karlo Matkovic,C,Oct 1,Out
New Orleans Pelicans,Jordan Hawkins,G,Oct 1,Out
New Orleans Pelicans,Yves Missi,C,Oct 1,Out
New Orleans Pelicans,CJ McCollum,SG,Oct 1,Out
New Orleans Pelicans,Zion Williamson,PF,Oct 1,Out
New Orleans Pelicans,Trey Murphy III,SG,Oct 1,Out
New Orleans Pelicans,Herbert Jones,SF,Oct 1,Out
New Orleans Pelicans,Dejounte Murray,SG,Oct 1,Out
Oklahoma City Thunder,Nikola Topic,G,Jul 2,Out
Orlando Magic,Jalen Suggs,SG,Oct 1,Out
Orlando Magic,Moritz Wagner,C,Oct 1,Out
Philadelphia 76ers,Guerschon Yabusele,F,Oct 1,Out
Philadelphia 76ers,Justin Edwards,F,Oct 1,Out
Philadelphia 76ers,Kyle Lowry,PG,Oct 1,Out
Philadelphia 76ers,Andre Drummond,C,Oct 1,Out
Philadelphia 76ers,Joel Embiid,C,Oct 1,Out
Philadelphia 76ers,Kelly Oubre Jr.,SG,Oct 1,Out
Philadelphia 76ers,Tyrese Maxey,PG,Oct 1,Out
Philadelphia 76ers,Paul George,F,Oct 1,Out
Philadelphia 76ers,Eric Gordon,SG,Oct 1,Out
Philadelphia 76ers,Jared McCain,G,Oct 1,Out
Phoenix Suns,Nick Richards,C,Oct 1,Out
Phoenix Suns,Devin Booker,SG,Oct 1,Out
Phoenix Suns,Kevin Durant,PF,Oct 1,Out
Portland Trail Blazers,Shaedon Sharpe,SG,Oct 1,Out
Portland Trail Blazers,Deni Avdija,SF,Oct 1,Out
Portland Trail Blazers,Scoot Henderson,G,Oct 1,Out
Portland Trail Blazers,Anfernee Simons,SG,Oct 1,Out
Portland Trail Blazers,Deandre Ayton,C,Oct 1,Out
Portland Trail Blazers,Jerami Grant,SF,Oct 1,Out
Portland Trail Blazers,Bryce McGowens,G,Oct 1,Out
Portland Trail Blazers,Robert Williams III,C,Oct 1,Out
Sacramento Kings,Jake LaRavia,F,Oct 1,Out
Sacramento Kings,Malik Monk,SG,Oct 1,Out
San Antonio Spurs,Devin Vassell,SG,Oct 1,Out
San Antonio Spurs,Jeremy Sochan,F,Oct 1,Out
San Antonio Spurs,Victor Wembanyama,C,Oct 1,Out
San Antonio Spurs,De'Aaron Fox,PG,Oct 1,Out
San Antonio Spurs,Riley Minix,F,Jul 1,Out
Toronto Raptors,Garrett Temple,SF,Oct 1,Out
Toronto Raptors,Jared Rhoden,G,Oct 1,Out
Toronto Raptors,Ulrich Chomche,C,Jul 1,Out
Toronto Raptors,Chris Boucher,PF,Oct 1,Out
Toronto Raptors,Ja'Kobe Walter,G,Oct 1,Out
Toronto Raptors,Jakob Poeltl,C,Oct 1,Out
Toronto Raptors,Brandon Ingram,SF,Oct 1,Out
Toronto Raptors,Gradey Dick,G,Oct 1,Out
Utah Jazz,Elijah Harkless,G,Jul 1,Out
Utah Jazz,KJ Martin,F,Oct 1,Out
Utah Jazz,John Collins,PF,Oct 1,Out
Utah Jazz,Lauri Markkanen,PF,Oct 1,Out
Utah Jazz,Isaiah Collier,G,Oct 1,Out
Utah Jazz,Walker Kessler,C,Oct 1,Out
Utah Jazz,Cody Williams,F,Oct 1,Out
Utah Jazz,Jordan Clarkson,PG,Oct 1,Out
Utah Jazz,Taylor Hendricks,F,Oct 1,Out
Washington Wizards,JT Thor,F,Oct 1,Out
Washington Wizards,Saddiq Bey,SF,Oct 1,Out
Washington Wizards,Malcolm Brogdon,PG,Oct 1,Out
Washington Wizards,Richaun Holmes,F,Oct 1,Out
Washington Wizards,Jordan Poole,SG,Oct 1,Out
Washington Wizards,Anthony Gill,PF,Oct 1,Out
Washington Wizards,Khris Middleton,SF,Oct 1,Out
Washington Wizards,Corey Kispert,SF,Oct 1,Out
Washington Wizards,Bilal Coulibaly,SG,Oct 1,Out
